id,rate,iupac_rate,reaction,category,time_stamp,datasheet
76,1.90D-12*EXP(190/TEMP),6D-12,OH + C2H5OOH = C2H5O2,categories/jenkin-1997-3_10_4-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC65_HO_C2H5OOH.xhtml_mathml.xml
77,8.01D-12,none,OH + C2H5OOH = CH3CHO + OH,categories/jenkin-1997-3_10_4-master.htt,2.0101E+13,
78,J<41>,none,C2H5OOH = C2H5O + OH,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
79,7.6D-12*EXP(-585/TEMP)*0.264,7.6D-12*EXP(-585/TEMP)*0.264,OH + C3H8 = NC3H7O2,categories/saunders-2003-4_1_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC6_HO_C3H8.xhtml_mathml.xml
80,7.6D-12*EXP(-585/TEMP)*0.736,7.6D-12*EXP(-585/TEMP)*0.736,OH + C3H8 = IC3H7O2,categories/saunders-2003-4_1_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC6_HO_C3H8.xhtml_mathml.xml
2746,1.4D-10*0.59*EXP(-90/TEMP),1.4D-10*(TEMP/300)@0*EXP(0/TEMP)*0.59*EXP(-90/TEMP),CL + C3H8 = NC3H7O2,categories/jenkin-1997-3_9_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/X_VOC7_Cl_C3H8.xhtml_mathml.xml
2747,1.4D-10*0.43*EXP(75/TEMP),1.4D-10*(TEMP/300)@0*EXP(0/TEMP)*0.43*EXP(75/TEMP),CL + C3H8 = IC3H7O2,categories/jenkin-1997-3_9_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/X_VOC7_Cl_C3H8.xhtml_mathml.xml
81,2.9D-12*EXP(350/TEMP)*0.980,2.9D-12*EXP(350/TEMP)*0.980,NC3H7O2 + NO = NC3H7O + NO2,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_4_n-C3H7O2_NO.xhtml_mathml.xml
82,2.9D-12*EXP(350/TEMP)*0.020,2.9D-12*EXP(350/TEMP)*0.020,NC3H7O2 + NO = NC3H7NO3,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_4_n-C3H7O2_NO.xhtml_mathml.xml
83,2.6D-14*EXP(-255/TEMP)*O2,2.6D-14*EXP(-255/TEMP)*O2,NC3H7O = C2H5CHO + HO2,categories/saunders-2003-4_8_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/RO_3_1C3H7O_O2.xhtml_mathml.xml
