t,ts,RO2HO2,RO2NO,RO2NO2,RO2,HO2,OH,NO3,J,NO,RO2NO3,concs,
51,51,2.8534892655997214e-11,9.579010902269835e-13,0,6.654543655780439e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.2046959735064112e-5,0,0,50647.39722507636,
52,52,2.8534892655997214e-11,9.579010902269835e-13,0,6.048206158838727e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.0680310808823156e-5,0,0,45952.50514195784,
53,53,2.8534892655997214e-11,9.579010902269835e-13,0,5.416966140144051e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,9.316906784542033e-6,0,0,41146.29389841807,
54,54,2.8534892655997214e-11,9.579010902269835e-13,0,4.7750898309155274e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,7.974736024068858e-6,0,0,36281.18142375006,
55,55,2.8534892655997214e-11,9.579010902269835e-13,0,4.1356868665982605e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,6.674800462056338e-6,0,0,31368.196962522885,
56,56,2.8534892655997214e-11,9.579010902269835e-13,0,3.484481748459524e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,5.440960551434033e-6,0,0,26493.43596354122,
57,57,2.8534892655997214e-11,9.579010902269835e-13,0,2.8614257989155522e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,4.300673312974397e-6,0,0,21739.99254820192,
58,58,2.8534892655997214e-11,9.579010902269835e-13,0,2.2598823934717094e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,3.278642011758498e-6,0,0,17211.856602094907,
59,59,2.8534892655997214e-11,9.579010902269835e-13,0,1.7087607783592966e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.3925532508165366e-6,0,0,13067.111729053062,
60,60,2.8534892655997214e-11,9.579010902269835e-13,0,1.2304499316789066e-5,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.6548859533353941e-6,0,0,9438.616552738435,
61,61,2.8534892655997214e-11,9.579010902269835e-13,0,8.290258450683054e-6,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,1.0619415450200012e-6,0,0,6391.3417395327315,
62,62,2.8534892655997214e-11,9.579010902269835e-13,0,5.045129672746145e-6,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,6.064174166448566e-7,0,0,3950.781687172258,
63,63,2.8534892655997214e-11,9.579010902269835e-13,0,2.6713176986617883e-6,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,2.839180482622939e-7,0,0,2163.6449454872127,
64,64,2.8534892655997214e-11,9.579010902269835e-13,0,3.764709333370334e-7,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,449.8111623453015,
65,65,2.8534892655997214e-11,9.579010902269835e-13,0,3.1764337588515524e-7,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,355.5078031642588,
