"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"MACRNOOA",3.40356551653118e-11,3.1191370628939e-11,3.69394868993333e-11,0.999999986801245,0,0.00165691713869444,0.00415389511414837,8.01157342332993e-18,3.09470649807309e-18
"HO2C4OH",4.75612509458009e-07,4.72748591749856e-07,4.78536385398763e-07,0.999928287828046,0,0.00167679111156688,0.000845853642195535,5.22129667481207e-18,4.42753896411874e-18
"CO2H3CO3H",1.79103900767926e-06,1.77102268577748e-06,1.81147438606475e-06,0.999980818170657,0,0.0211780595257426,0.000351741118536757,2.15554093334183e-18,4.30059007696975e-14
"CH3CHO",0.0843444142266238,0.0633547701241201,0.105773492032037,0.999999438354311,1.60395370770132e-09,0.188670422765918,0.0380466643217259,5.33950797689657e-09,2.34191922428962e-06
"NC3H7O",0.000311815940033412,9.08271662872406e-05,0.000537431276987351,0.996270650064948,0,0.0019024528482614,0.00138184010853726,5.58055349703571e-18,1.01879103942831e-17
"C531O2",1.36724650401675e-11,1.8275735197327e-11,8.97282202214511e-12,0.999999986255749,0,0.00264682746330047,0.000577860409024672,1.07777046667092e-18,2.59131391749382e-18
"HMML",2.27913330963455e-06,1.9735525237666e-06,2.59111165496642e-06,0.999836070487567,0,0.00229768808341176,0.00691757533122289,1.79536235808827e-14,1.06213809332594e-12
"NC3H7NO3",5.79459328120117e-06,8.5824785046853e-06,2.94834162134203e-06,0.996612821004384,0,0.00165912638710885,0.0127213037870794,0,2.59131391749382e-18
"IC3H7O2",0.0105821700978596,0.010911642355882,0.0102458000947568,0.998494891964196,0,0.00336932548479833,0.0035760347051237,1.56638900244362e-17,4.10149165923162e-18
"HYPROPO",0.000538771125664638,3.49608537517316e-05,0.00105312903775046,0.956474381338255,0,0.00170802266760198,0,2.00828952255298e-17,4.53832510642485e-06
"PRONO3BO",0.0002637468355295,1.36792164063334e-06,0.000531618845782106,0.999763050836042,0,0.0017455741674784,0,5.93981031925935e-18,5.24627201385138e-07
"HOCO3C54O2",0.000302743059429856,0.000307093473996072,0.000298301565721341,0.999107364775912,0,0.0156447135886742,0.00297304993048926,2.15554093334183e-18,5.18262783498764e-18
"MPRK",0.00174467921666329,0.00174412927325722,0.00174524067354077,0.955062285966536,0,0.00773068369255937,0.00609684605463712,1.56638900244362e-17,6.50719967333319e-11
"NOA",0.00106649248971676,0.00116401476588683,0.000966928512661994,0.999971228402211,1.5212370517503e-09,0.157199783046246,0.00907827077366296,3.53458480848315e-10,3.9741510781788e-12
"C530NO3",1.06714082981528e-11,7.33628035561032e-12,1.40763596076048e-11,0.999999991532335,0,0.00165991605903603,0.00132321658878113,5.58055349703571e-18,5.80679514345811e-14
"BIACETOOH",5.47765000226029e-05,5.46335805781155e-05,5.49224115912256e-05,0.999522672681298,0,0.00782085405274876,0.000184245347804968,2.87292044640357e-17,8.60338163794786e-18
"INCOOH",1.44652647243811e-06,1.43140902589795e-06,1.46196041388781e-06,0.999731373415363,0,0.00325340992945138,0,3.50879039296513e-18,1.00678516115853e-18
"HO1C5OOH",2.75786582385081e-05,2.73312721492762e-05,2.78312235382453e-05,0.998785053846199,0,0.00425504672125091,0,5.22129667481207e-18,0
"HO13C3CHO",6.17752364551184e-06,6.09849624195144e-06,6.25820554613796e-06,0.999922853149613,0,0.00772122482029605,0.00673332998341792,1.08018501718478e-17,1.47257813637859e-15
"CH2CHCH2OOH",4.74815219878892e-10,4.6990163784105e-10,4.79831671386026e-10,0.999999991839262,0,0.00297601429534357,0,1.07777046667092e-18,2.59131391749382e-18
