"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"IC3H7OOH",0.00401536582226776,0.00655150322211014,0.00129078846906755,0.877984214451403,0,0.0462244797360311,0,7.46972055561232e-18,2.16662197613908e-17
"HO2C4O",8.3691053163408e-05,8.83955779013036e-05,7.8636973065367e-05,0.958507764023089,0,0.0245920095067745,0.159648480410106,6.35780256184567e-18,0
"BIACETO",9.67844321440027e-05,8.94325273829982e-05,0.000104682597762302,0.984777417224156,6.43245967362879e-21,0.0163584517646717,0.0278286341999268,2.94179937489317e-11,5.87408257138759e-07
"BUTALO2H",0.000105935328138408,8.72384310330313e-05,0.000126021441150892,0.980708269506394,5.60346667558952e-22,0.00860297275268346,0.0388136213841084,1.84231680302839e-18,2.1835949352252e-10
"PEBO",0.000183536022585755,6.75018203916036e-05,0.000308191792227609,0.906086447171289,0,0.00964734259919784,0.081288905162944,2.39827579991171e-18,0
"C3DIOLO2",4.47365463213603e-05,2.87929927006373e-05,6.18647370602591e-05,0.945974224717069,3.82477797053245e-22,0.01207887945108,0.00695715854998169,2.95423479679503e-18,0
"NO3CH2CHO",0.00178015526880173,0.00270387512776839,0.00078780122339462,0.965071916288374,0,0.0271593799821815,0.0637129256682534,5.76242437973604e-11,2.74836450273721e-06
"INB2O2",0.00139438471857082,0.00160257816493091,0.00117072209324434,0.947384321738863,1.67786933776658e-20,0.00949979996370267,0.0842182350787257,3.7986825102588e-08,5.14773154793317e-15
"NC4H9NO3",3.21411904558023e-05,3.31529699699696e-05,3.10542337511287e-05,0.939373208464299,0,0.0068706382601269,0,3.4568807793645e-18,0
"BUT2OLOOH",4.54640327028152e-05,3.00553223421127e-05,6.20176402847234e-05,0.938064792627426,0,0.00724632510668791,0,6.96491917386386e-19,0
"CO2C4CO3H",4.06295449995456e-05,4.88998441666743e-05,3.17447464802108e-05,0.945852256929856,1.70127676818696e-22,0.00935893813532413,0,0,2.74751540388785e-17
"INCNPAN",4.89077216958777e-05,4.76871585106246e-05,5.02189751054513e-05,0.920020935374019,0,0.00952760169941537,0,0,0
"HO3C3CO3H",2.98376673158793e-05,2.88183153358296e-05,3.0932759135414e-05,0.943509700183497,2.96004623876434e-21,0.0100378020837516,0,1.19913789995585e-18,3.08337930777877e-15
"INAHPPAN",0.000165861904328486,0.000162223457575389,0.000169770694768991,0.941115107725766,0,0.0113487625380073,0,5.21197767620367e-18,2.05395455672288e-15
"HO2C3CO3",0.000146642999290736,0.00013782648521263,0.000156114597553856,0.954451547152295,1.49065798308898e-21,0.0248105676098171,0.0750640790919077,4.46950084395828e-14,1.77761486344451e-13
"HOCH2CH2O",8.01018517450074e-05,6.35962819084666e-05,9.78338176002875e-05,0.959769246091954,3.62903087669359e-21,0.0322382718614093,0.0333211277920176,2.0559513494669e-16,9.98948086154228e-07
"MEKCOOH",0.000195584329655745,0.000215333801651916,0.000174367433385938,0.962302057447162,0,0.0313201395521349,0,6.35780256184567e-18,5.5647235404262e-07
"MMALNACO2H",6.75806589260084e-05,4.43521883749123e-05,9.2535050126157e-05,0.937703613743958,4.26709973254474e-21,0.00707926546091573,0.00805565726839985,2.95423479679503e-18,5.75262892549593e-10
"C42AOH",4.47365459971694e-05,2.87929926983339e-05,6.1864736390264e-05,0.979193904547471,7.78655162655845e-22,0.00635589784359039,0.00476016111314537,2.95423479679503e-18,2.16667739308766e-10
"C51OOH",5.59054013276567e-05,7.89203308383983e-05,3.11804176834886e-05,0.933173610695116,0,0.00921169207923196,0,0,0
"PRONO3BO",4.48020294326527e-05,5.75868844679422e-05,3.10672347424035e-05,0.942474574228094,6.04863663350529e-22,0.0101675751694749,0,2.95423479679503e-18,2.16662197613908e-17
"HO3C5OOH",4.4757606198464e-05,2.88286677760214e-05,6.18700958013558e-05,0.942700647680261,4.08367479903301e-21,0.00703896712047117,0,5.21197767620367e-18,0
"HO3C4CO3",7.46408388956651e-05,5.76673190900778e-05,9.28755243150248e-05,0.961874519207817,6.49014020949854e-22,0.015427096197838,0.0263639692420359,1.22433242089567e-14,0
"BUT2OLO2",0.00010579903289742,5.90223661849486e-05,0.00015605129714419,0.945043703754012,0,0.0107834833339525,0.022336140607836,1.87923418445309e-17,0
"MVKO",0.00017242412001226,5.77651095370911e-05,0.000295602518509285,0.950805986353664,2.16600673590431e-21,0.0084514575730447,0,2.93617814720121e-11,2.48648338763842e-06
"HCOCH2OOH",0.000375257953435001,0.000538098831376197,0.00020031768078203,0.977408587777653,0,0.0367007439154089,0.00366166239472721,6.70793832640338e-14,6.59556750205594e-07
"CO2C3CO3H",0.000177455928510016,0.000299699512676254,4.61294077095044e-05,0.92417996981619,0,0.0185186757340944,0,1.23117253388023e-16,6.21000612988619e-14
"MVKNO3",0.00663201551261687,0.00601884239013593,0.00729074859356368,0.95655672329239,1.70359049024053e-20,0.0580552915814475,0.146466495789088,6.11153344430872e-07,8.19959299701137e-09
"MPAN",0.00954156662611347,0.0130177665804948,0.00580707823779054,0.184737204193053,9.58434232766561e-21,0.0183862755196268,0,9.15860425678141e-15,1.41378661526681e-12
"PPN",0.00164382631409113,0.00167561101295565,0.00160967995013232,0.448473831774976,0,0.0824692239072062,0,3.4568807793645e-18,3.61076200017354e-13
"HCOCH2CO3",8.95212716817336e-05,5.76404398118351e-05,0.000123770911515643,0.965468737422073,1.13978627091383e-22,0.0131908616730799,0.00878798974734529,1.89212783132792e-14,9.1152611781098e-14
"NC3H7OOH",0.00179086598062195,0.00276261687161823,0.0007469121038623,0.875456918443913,0,0.0574650002357731,0,2.55316635908815e-17,3.28736922078696e-17
"IEACO3",0.000749169529025632,0.000412510025868324,0.00111084348963165,0.90279932545763,0,0.0145678876693886,0.0106188209447089,5.15777206540141e-14,1.20403386208007e-10
"C58O2",0.011597518900471,0.00746931859306747,0.0160324525392104,0.861695529914505,1.29043412602416e-20,0.0115694740720874,0.0355181252288539,1.06243934590371e-11,2.54152542133619e-14
"ISOPBOOH",0.00337507557050375,0.00321326313200924,0.00354891098865406,0.582198464095744,0,0.00781909574944454,0.000366166239472721,1.56927183410951e-15,4.71533601029682e-10
