name,PAN,Carb. Acid,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,No functional,nogroups
C97O,0,0,0,0,0,0,1,0,0,0,0,23,0
C106OOH,0,0,0,0,0,1,2,0,0,0,0,28,0
HCOCO,0,0,0,0,0,1,0,0,0,0,0,8,0
PROPGLY,0,0,0,0,0,0,0,0,0,0,0,7,0
C235C6CO3H,0,0,0,0,0,0,4,0,0,0,0,25,0
HO1C4NO3,0,0,0,0,1,0,0,0,0,0,0,13,0
OCTO,0,0,0,0,0,0,0,0,0,0,0,13,0
C717O2,0,0,0,0,0,1,2,0,0,1,0,23,0
HO2C4CO3H,0,0,0,0,0,0,1,0,0,0,0,14,0
C719O2,0,0,0,0,0,0,1,1,0,0,0,21,0
CH3CHOHCHO,0,0,0,0,0,1,0,1,0,0,0,8,0
C719NO3,0,0,0,0,1,1,0,2,0,0,0,27,0
HOCH2CO2H,0,1,0,0,0,0,1,0,0,0,0,8,0
HO1C4O2,0,0,0,0,0,0,0,0,0,1,0,9,0
C921O2,0,0,0,0,0,0,1,0,0,1,0,25,0
BUTACID,0,1,0,0,0,0,1,0,0,0,0,9,0
C98OOH,0,0,0,0,0,0,2,0,0,0,0,26,0
C720O,0,0,0,0,0,0,0,0,0,0,0,14,0
NC4H9OOH,0,0,0,1,0,0,0,0,0,0,0,6,0
CO23C4CO3,0,1,0,0,0,0,3,0,0,0,0,21,0
CO2H3CHO,0,0,0,0,0,1,1,1,0,0,0,13,0
NC4H9O2,0,0,0,0,0,0,0,0,0,1,0,8,0
C621OOH,0,0,0,0,0,0,2,0,0,0,0,20,0
MGLYOX,0,0,0,0,0,1,1,0,0,0,0,9,0
MEKAOH,0,0,0,0,0,0,1,0,0,0,0,9,0
C719OH,0,0,0,0,0,1,0,2,0,0,0,20,0
C96OOH,0,0,0,0,0,0,1,0,0,0,0,19,0
C717OH,0,0,0,0,0,1,2,1,0,0,0,20,0
HO14CO3C5,0,0,0,0,0,0,1,0,0,0,0,13,0
CHOC3COOOH,0,0,0,0,0,1,2,0,0,0,0,17,0
HO1C3O2,0,0,0,0,0,0,0,0,0,1,0,8,0
HO13C4OH,0,0,0,0,0,0,0,1,0,0,0,9,0
C811NO3,0,1,0,0,0,0,1,0,0,0,0,25,0
C2H5CHO,0,0,0,0,0,1,0,0,0,0,0,5,0
APINCOH,0,0,0,0,0,0,0,0,0,0,0,19,0
C83OOH,0,0,0,0,0,0,3,0,0,0,0,24,0
C52OH1OOH,0,0,0,1,0,0,0,1,0,0,0,10,0
C51NO3,0,0,0,0,1,0,1,0,0,0,0,20,0
C717NO3,0,0,0,0,1,1,2,0,0,0,0,27,0
PINALOH,0,0,0,0,0,1,1,1,0,0,0,23,0
H3C25C6O,0,0,0,0,0,0,2,1,1,0,0,20,0
C621O,0,0,0,0,0,0,2,0,0,0,0,21,0
HMVKAOOH,0,0,0,1,0,0,1,1,0,0,0,13,0
C82O,0,0,0,0,0,0,1,1,0,0,0,20,0
HO3C4NO3,0,0,0,0,1,0,0,1,0,0,0,15,0
NO3CH2CO3,0,1,0,0,1,0,1,0,0,0,0,18,0
C109OOH,0,0,0,0,0,1,1,0,0,0,0,22,0
C51O2,0,0,0,0,0,0,1,0,0,1,0,16,0
C719O,0,0,0,0,0,1,0,2,0,0,0,22,0
C107OOH,0,0,0,0,0,1,1,0,0,0,0,24,0
CO235C6CHO,0,0,0,0,0,1,3,0,0,0,0,21,0
HOCH2CH2O2,0,0,0,0,0,0,0,0,0,1,0,7,0
C3PAN2,1,0,0,0,1,1,1,0,0,0,0,18,0
C3PAN1,1,0,0,0,1,0,1,0,0,0,0,17,0
C51OH,0,0,0,0,0,0,1,1,0,0,0,13,0
ACETOL,0,0,0,0,0,0,1,0,0,0,0,8,0
IPROPOLO2,0,0,0,0,0,0,0,0,0,0,0,10,0
CH3CO3,0,1,0,0,0,0,1,0,0,0,1,10,0
HO13C5NO3,0,0,0,0,1,0,0,1,0,0,0,19,0
H3C25C5CHO,0,0,0,0,0,1,2,1,0,0,0,19,0
HO2C3CO3H,0,0,0,0,0,0,1,0,0,0,0,13,0
NBUTOLBOOH,0,0,0,0,0,0,0,0,0,0,0,9,0
DIEKBO2,0,0,0,0,0,0,1,0,0,1,0,13,0
